,Titulo,Autor,Referencia,Texto,link
0,Logran vecinos suspender obra en plaza de Huixqui,Laura Islas,"Tras interponer un juicio de amparo, vecinos de Lomas de Tecamachalco lograron que se colocaran sellos de suspensión a la edificación de una plaza comercial sobre Avenida de los Bosques, en...","Tras interponer un juicio de amparo, vecinos de Lomas de Tecamachalco lograron que se colocaran sellos de suspensión a la edificación de una plaza comercial sobre Avenida de los Bosques, en Huixquilucan. Se trata de una obra en dos predios fusionados con los números 62 y 64 que anteriormente había sido suspendida por Desarrollo Urbano, pero la Alcaldía retiró los sellos indicando que tenían la documentación necesaria. Sin embargo, la Asociación de Colonos denunció que la construcción viola el uso de suelo de la colonia, debido a que el actual Plan de Desarrollo Urbano Municipal es ""H"" 300, es decir, Habitacional, y los permisos se otorgaron fuera de la ley. Por lo cual, a inicios de noviembre pasado, la Asociación interpuso el juicio de amparo 1526/2016-V y un juez ordenó a la Alcaldía la colocación de sellos de suspensión temporal en lo que se resuelve éste. Carlos Romero, asesor legal de los colonos, mencionó que la suspensión es un ejemplo de lo que se busca lograr en las construcciones que se realizan de manera ilegal por violar el uso de suelo que es exclusivamente habitacional. Isaac Gauna Berkovsky, presidente de la Asociación, señaló que no están en contra de la construcción de obras, siempre y cuando estén dentro de lo que marca la ley y se respeten los usos de suelo. ""No se permiten comercios, no se permiten edificios, más que en predios muy, muy específicos que están autorizados desde hace 30 o 40 años"", dijo.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6268918|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170102/interactiva/RCIU20170102-004.JPG&text=Logran+vecinos+suspender+obra+en+plaza+de+Huixqui&tit=
1,Rebasa obra nivel maximo,Israel Ortega,Acusan vecinos de la Roma que el edificio debe tener 3 pisos y ¡lleva 8!. Aseguran encargados de la construcción que la Cuauhtémoc les dio los permisos,"Vecinos de la calle Aguascalientes, en la Colonia Roma, señalan que el edificio en obras de ocho pisos, ubicado en el número 51, se edifica con irregularidades ya que el Gobierno capitalino les informó que la altura máxima autorizada en esa zona son tres niveles. Es un desarrollo de Punto de Destino, ubicado entre las calles Medellín y Monterrey y dentro del polígono del área de conservación patrimonial Roma-Condesa. De acuerdo con una respuesta de información pública del Gobierno local, la Secretaría de Desarrollo Urbano y Vivienda (Seduvi) tenía registrado, hasta el 29 de noviembre de 2016, que el límite de altura es menor al que se realiza. ""La altura máxima de construcción en la calle Aguascalientes en la colonia Roma Sur es de 3 niveles"", dice la respuesta que obtuvieron los vecinos mediante correo electrónico de los Servicios y Atención Ciudadana del Gobierno de la Ciudad. En el portal de la Seduvi también se indica que el límite máximo de niveles del edificio es de tres pisos. Al acudir ayer a la obra, los trabajadores y la persona que vigila la entrada del edificio señalaron que cuentan con todos los permisos y que pueden ser consultados en la Delegación Cuauhtémoc. Vecinos de la Colonia Roma Sur pretendía ingresar un escrito, desde el 22 de diciembre del 2016, a la Administración que encabeza el morenista Ricardo Monreal para que verificaran la legalidad de la obra, pero cuando acudieron les dijeron que estaban de vacaciones. La obra siguió avanzando y fue hasta este 3 de enero cuando esa autoridad les recibió la petición. ""Si la Seduvi tiene claro que no se pueden construir más de tres niveles, pues no se puede"", explica Rocío Serrano, quien lleva más de 20 años viviendo en la Colonia Roma Sury esta inconforme con la construcción. ""Son siete niveles, no hay agua en la colonia y entonces ya no va a haber agua en la colonia. La Colonia Roma Sur por sus características forma parte de un patrimonio y no puedes alterar esto porque nos estás perjudicando a todos los que vivimos aquí"". En el escrito enviado a la Delegación Cuauhtémoc, los vecinos solicitan investigar al desarrollo y, si hubiera anomalías en emisión de permisos y también indagar a los responsables. Además de la legalidad, los vecinos exigen que sea respetada la imagen urbana de la Colonia Roma Sur. ""Una alternativa increíble para todos los que querían estar muy cerca de todo el movimiento, pero al mismo tiempo en un remanso de paz"", dice el anuncio en la página de internet de la constructora. Al cierre de esta edición, la Delegación Cuauhtémoc no respondió a las solicitudes de información sobre el caso que realizó este diario.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6278114|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170112/interactiva/RCIU20170112-003.JPG&text=Rebasa+obra+nivel+maximo&tit=
2,Endosan a Seduvi edificio excedido,Israel Ortega,Se deslinda Cuauhtémoc de obra de 7 niveles en la Roma. Asegura Delegación que la constructora mostró permisos durante verificación,"Zuleyma Huidobro, directora Jurídica en la Delegación Cuauhtémoc, declaró que fue la Secretaría de Desarrollo Urbano y Vivienda (Seduvi) la que otorgó el permiso para la construcción de 7 niveles en Aguascalientes 51. REFORMA publicó ayer que vecinos de la Colonia Roma Sur acusaron que la obra es irregular luego de que el Gobierno local les informó, en respuesta a una solicitud de información, que en la calle solo estaba permitido construir hasta tres niveles. Huidobro explicó que los responsables del desarrollo en la Colonia Roma Sur entregaron los documentos expedidos por la Seduvi ante los señalamientos de vecinos que acusaban a la Delegación de no actuar. ""Nosotros verificamos o se ordena la verificación dentro de las facultades, yo no podría estar ordenando una verificación por uso de suelo"", explicó la funcionaria. ""Tenemos ya un procedimiento desde hace ya algunos meses precisamente de obra, de verificación de obra, el particular en su momento presentó cierta documentación como prueba"". Los colonos también se inconformaron con la demarcación porque no pudieron ingresar su petición en diciembre y que la obra avanzó hasta alcanzar ocho niveles. Al respecto, la funcionaria señaló que no pudieron recibir la queja por los tiempos legales establecidos para este tipo de solicitudes. ""La Delegación estuvo trabajando en su totalidad, sin embargo, hay suspensión de términos"", dijo Huidobro. De acuerdo con el oficio SEDUVI/CGDAU/DPCU0451, la edificación podrá realizarse mediante un acuerdo para la constitución de un polígono de actuación. Los predios que conforman el polígono de actuación de ubican en la Colonia Tabacalera, en la calle Tomás Alva Edison; Eje 4 Sur Tehuantepec 209 y Aguascalientes 51. Los lineamientos establecieron que podrán construirse siete niveles en el 51 de Aguascalientes mediante un uso de suelo habitacional mixto con una densidad de hasta 15 viviendas relocalizadas del predio de Tomás Alva Edison. La directora Jurídica en la Delegación Cuauhtémoc comentó en entrevista que revisarán, a petición vecinal, nuevamente el tema aunque sigue correspondiendo a la Secretaría de Desarrollo Urbano el tema del certificado del uso de suelo que determina la altura del inmueble.     Zuleyma Huidobro Directora Jurídica de la Delegación Cuauhtémoc   ""Tenemos ya un procedimiento desde hace ya algunos meses precisamente de obra, el particular presentó cierta documentación como prueba. Si tiene el permiso de Seduvi nosotros no podemos hacer más"".",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6279509|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170113/interactiva/RCIU20170113-003.JPG&text=Endosan+a+Seduvi+edificio+excedido&tit=
3,Muere uno en refineria de Madero,Mariela Trinidad,"CIUDAD MADERO.- Un trabajador murió y dos más resultaron intoxicados ayer por una fuga de ácido sulfhídrico en la refinería Francisco I. Madero cuando realizaban trabajos de mantenimiento.
Los...","CIUDAD MADERO.- Un trabajador murió y dos más resultaron intoxicados ayer por una fuga de ácido sulfhídrico en la refinería Francisco I. Madero cuando realizaban trabajos de mantenimiento. Los hechos ocurrieron alrededor de las 11:30 horas en la planta U-501 del complejo de Petróleos Mexicanos (Pemex), ubicado a menos de un kilómetro de Playa Miramar. En un comunicado, Pemex señaló que durante los trabajos de mantenimiento en la planta de destilados intermedios de diésel se generó una emanación de ácido sulfhídrico que ocasionó la intoxicación de los tres trabajadores. La petrolera informó que se activaron los protocolos internos de emergencia para trasladar a los afectados al Hospital Regional de Pemex, en Ciudad Madero, donde el estado de salud de los otros dos trabajadores se reporta como estable. ""No hubo afectaciones a la refinería, la cual continúa operando de manera regular. Pemex brindará todo el apoyo necesario a los familiares del trabajador que lamentablemente perdió la vida"", indicó. Fuentes policiales señalaron que el trabajador fallecido es Miqueas Alberto Araujo Pineda y que además de los dos empleados intoxicados hay cinco más con algún tipo de lesión no grave. La refinería Francisco I. Madero tiene un historial en accidentes, el último fallecimiento ocurrió en septiembre de 2015, cuando un trabajador fue golpeado por una manguera de alta presión, mientras que en agosto de 2014 cuatro trabajadores perdieron la vida debido a una explosión.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6279557|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170113/interactiva/RNAC20170113-013.JPG&text=Muere+uno+en+refineria+de+Madero&tit=
4,Toma Policia control de presa,Benito Jiménez,"Tras el desalojo de habitantes que mantenían bloqueada la presa Yuribia, en Veracruz, el Gobernador Miguel Ángel Yunes ordenó un despliegue de policías para su vigilancia.
La presa suministra agua...","Tras el desalojo de habitantes que mantenían bloqueada la presa Yuribia, en Veracruz, el Gobernador Miguel Ángel Yunes ordenó un despliegue de policías para su vigilancia. La presa suministra agua a Coatzacoalcos, Minatitlán y Cosoleacaque. En días pasados fue bloqueada por ejidatarios del municipio de Tatahuicapan, donde se ubica el embalse. Según Yunes cobraron mediante convenios ilegales 2.5 millones de pesos al mes para ser distribuidos entre la comunidad durante el Gobierno del priista Javier Duarte, para no cerrar la presa. Debido a que en la actual administración ese dinero no se ha suministrado a los ejidatarios, cerraron la válvulas de la presa, lo que afectó a 500 mil habitantes de los municipios a los que suministra de agua el embalse. El Gobernador identificó que detrás de los ejidatarios está Lino González Bautista, vocero del comisariado ejidal e integrante Comité de la Cuenca del Río Tezizapan, quien, afirmó , cuenta con una orden de aprehensión por un delito federal. Yunes calificó el cierre de válvulas de la presa como un acto vandálico y prometió aplicar la ley a quienes lo hayan provocado. ""Quienes encabezan este movimiento han recibido en los últimos dos años casi 60 millones de pesos en efectivo, en entregas mensuales de 2.5 millones de pesos que fueron puestos en manos de uno de los dirigentes por el Gobierno del estado de Veracruz que cedió a la amenaza de cerrar la presa sin no se entregaban estos recursos, es una forma de extorsión, de chantaje absolutamente inaceptable"", indicó. ""El convenio que suscribieron el Gobierno de Veracruz con los dirigentes de esa comunidad es el más claro ejemplo de cómo durante el Gobierno de Javier Duarte no se respetó la Ley ni Estado de Derecho, por el contrario se negoció la Ley"".",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6279552|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170113/interactiva/RNAC20170113-014.JPG&text=Toma+Policia+control+de+presa&tit=
5,Condena ONU asesinato de ambientalista,César Martínez,"El relator de Naciones Unidas sobre la situación de los defensores de derechos humanos, Michel Forst, condenó ayer el asesinato del ambientalista Isidro Baldenegro López, ocurrido el...","El relator de Naciones Unidas sobre la situación de los defensores de derechos humanos, Michel Forst, condenó ayer el asesinato del ambientalista Isidro Baldenegro López, ocurrido el domingo. ""Estoy profundamente conmocionado por el asesinato a sangre fría de Isidro, quien sólo deseaba para su comunidad la preservación de los bosques tradicionales en la Sierra Tarahumara. ""Lamentamos la trágica pérdida de un defensor indígena comprometido y altruista. La muerte de Isidro deja un doloroso vacío no sólo en su comunidad, sino en el movimiento global de los derechos humanos"", señaló Forst, según la Oficina en México del Alto Comisionado de Naciones Unidas para los Derechos Humanos. El indígena rarámuri, reconocido en el año 2005 con el Premio Goldman para Norteamérica por combatir la tala del bosque de Chihuahua, falleció a causa de las heridas de bala recibidas el domingo en un atentado en su comunidad. Forst, quien realiza una visita oficial en México, se reunió ayer con el Gobernador de Chihuahua, Javier Corral, y ambos condenaron lo que calificaron como un crimen indignante y absurdo, informó la ONU-DH. ""Humildemente me solidarizo con la familia de Isidro y con su comunidad"", agregó el relator, quien más tarde viajó a Guerrero.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6285948|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170120/interactiva/RNAC20170120-002.JPG&text=Condena+ONU+asesinato+de+ambientalista&tit=
6,Pelean tierras a NAICM,Alejandro León,Reprueban ejidatarios de Atenco construcciones en predios en litigio. Recorren el lugar y personal de Grupo Aeroportuario niega invasiones,"Ejidatarios del Frente de Pueblos en Defensa de la Tierra acusaron ayer que Grupo Aeroportuario construye el Nuevo Aeropuerto Internacional de la Ciudad de México en tierras en litigio en San Salvador Atenco. Explicaron que, aunque existen demandas de amparo por posesión de tierras tanto en juzgados de Distrito como en tribunales agrarios, el Grupo mantiene la maquinaria en el sitio y pretende expandir las excavaciones. En un recorrido realizado ayer en ejidos conocidos como El Paraíso, los opositores a la nueva terminal mostraron cómo trabajadores han cercado tierras que aseguran les pertenecen. Uno de los juicios de amparo tiene el expediente número 14/2015 ante el Juez Noveno de Distrito del Estado de México o el juicio agrario número 400/2014 en el Tribual Agrario con sede en Texcoco. Adán Espinoza, integrante del Frente, detalló que los trabajadores han invadido cerca de 100 hectáreas de terreno parcelado. ""El domingo nos percatamos de que ya tenemos la invasión de parte del Grupo Aeroportuario, en donde claramente se ve que nos están despojando, pedimos que ellos muestren documentos legalmente bien constituidos como para demostrar de que son sus terrenos. ""Forzosamente quieren usar nuestro territorio para la pista, creo, cinco o seis, defendemos el terreno parcelario y seguimos con las demandas en el terreno de uso común"", dijo. Ante la Corte Interamericana de Derechos Humanos, agregó, también existe una denuncia contra el Gobierno federal por la posesión de las tierras. En un diálogo que sostuvieron ayer ejidatarios y personal del Grupo Aeroportuario, éstos últimos señalaron que no tienen una notificación para frenar las obras. Fabián Calderón, quien se identificó como parte del consorcio, les aseguró que no han violado ningún mandamiento jurisdiccional, por lo que los trabajos continuarán. ""No queremos provocaciones, tenemos certeza jurídica, en ese orden de ideas, los trabajos van a continuar"", dijo Calderón. Mientras dialogaban, varias personas, que estaban del lado del Grupo Aeroportuario, lanzaban burlas y retaban a integrantes del Frente de Pueblos. Aunque al final acordaron una nueva reunión, horas más tarde los ejidatarios cerraron momentáneamente la carretera Lechería - Texcoco, a la altura de Atenco.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6289501|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170124/interactiva/RCIU20170124-003.JPG&text=Pelean+tierras+a+NAICM&tit=
7,Esconden clausura y continuan la obra,Shelma Navarrete,Violan normativa con edificio de Mérida 169. Exceden trabajos en Colonia Roma niveles permitidos; exigen derribarlos,"Con varias capas de lonas plásticas se han cubierto los sellos de suspensión y clausura en la construcción ubicada en Calle Mérida 169, en la Colonia Roma. El inmueble estaba catalogado por el Instituto Nacional de Bellas Artes (INBA) como patrimonio arquitectónico y con uso de suelo H/4/20M que permite sólo cuatro niveles de construcción; sin embargo, la fachada ha sido alterada y el edificio cuenta con siete pisos. El Comité Ciudadano Roma Norte 3 reportó desde agosto de 2016 estas irregularidades a la Delegación Cuauhtémoc y al INBA, por lo que se impuso una suspensión por parte del Instituto de Verificación Administrativa (Invea) con el expediente INVEADF/OV/DUYUS/3273/2016 y la clausura del Gobierno delegacional con el folio DC/DBJ49/SUR/OVO/720/2016. No obstante, custodiados por un guardia de seguridad privado, durante la mañana y ya entrada la tarde se puede observar el movimiento de obreros, además de la llegada de material de construcción y trabajadores laborando en los pisos superiores. ""Lo que nos preocupa son dos cosas: una que es un inmueble catalogado y que está protegido por el Programa Delegacional; dos que el uso de suelo que está determinado por Seduvi está siendo violado claramente, es un edificio de siete niveles. ""Los vecinos vamos a solicitar que les bajen los niveles a lo permitido que son sólo cuatro niveles"", comentó Mario Rodríguez, integrante del Comité Ciudadano Roma Norte 3. El complejo inmobiliario tiene al menos dos torres de departamentos, que van de los 193 hasta los 225 metros cuadrados con tres recámaras y tres y medio baños, anunciado en la página de MDS Arquitectos. ""Ocho exclusivos departamentos dúplex, ubicados en el corazón de la Colonia Roma"", se publicita en el sitio web. La directora Jurídica y de Gobierno de Cuauhtémoc, Zuleyma Huidobro, informó que el proceso de suspensión en el inmueble continúa y se vigilará el incumplimiento de la sanción. ""Tenemos que ir con Jurídico para poder remitir a los trabajadores al Ministerio Público, el problema es que se tiene que encontrar en el momento en el que lo estén haciendo"", aseguró. Indicó que la clausura por parte de la Delegación se realizó el 26 de enero, pese a que los vecinos afirman haberlo reportado cerca de cuatro meses antes por el tiempo que lleva el procedimiento.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6305283|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170210/interactiva/RCIU20170210-004.JPG&text=Esconden+clausura+y+continuan+la+obra&tit=
8,Clausuran vecinos de Iztacalco construccion,REFORMA / STAFF,"Una obra ubicada en el 250 de la Calle 7, en Iztacalco, fue clausurada simbólicamente por vecinos de la zona, según informó la Asamblea Permanente de la Colonia Agrícola Pantitlán mediante un...","Una obra ubicada en el 250 de la Calle 7, en Iztacalco, fue clausurada simbólicamente por vecinos de la zona, según informó la Asamblea Permanente de la Colonia Agrícola Pantitlán mediante un comunicado. En el punto, la constructora Gap Metropolitana edifica un conjunto habitacional de alrededor de 600 viviendas con respectivos cajones de estacionamiento. Sin especificar cuáles, los vecinos aseguraron que la obra presenta irregularidades, que han sido denuncias en la Delegación, ante la Secretaría de Desarrollo Urbano y Vivienda (Seduvi), el Instituto de Verificación Administrativa (Invea) y la Asamblea Legislativa. ""Hemos acudido a todas las instancias correspondientes, nos han recibido en Seduvi, Invea e Iztacalco, pero todos se echan la bolita, nadie se responsabiliza de los permisos o licencias de demolición y de construcción que se otorgan"", se refirió en el documento. Además, sostienen que la construcción del complejo ha causado afectaciones a sus viviendas, y a su salud. ""(Las constructoras) generan sus proyectos sujetándose a la lógica de inversión y ganancia, sin atender la configuración humana, urbana, ambiental, y pasando por encima los derechos de los vecinos que ya llevan más de 70 años viviendo en este lugar"", se atribuye a sus quejas. Además, los vecinos denuncian que estas afectaciones se suman a problemas en el servicio de agua, a la inseguridad, carencia de espacios verdes y recreativos y falta de transporte. Los vecinos finalizan con la petición de atención a su denuncia por parte del Gobierno de la Ciudad de México.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6308798|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170214/interactiva/RCIU20170214-002.JPG&text=Clausuran+vecinos+de+Iztacalco+construccion&tit=
9,Detienen a manifestantes en MexicalI,Aline Corpus,"MEXICALI.- Integrantes del movimiento ciudadano que pretendían bloquear nuevamente la alcaldía de esta ciudad fueron desalojados la mañana de ayer.
De acuerdo con versiones preliminares, hay...","MEXICALI.- Integrantes del movimiento ciudadano que pretendían bloquear nuevamente la alcaldía de esta ciudad fueron desalojados la mañana de ayer. De acuerdo con versiones preliminares, hay alrededor de 12 detenidos, aunque no se informó el delito que se les imputa. Los manifestantes arribaron a la sede del Palacio Municipal al filo de las 17:00 horas del domingo, y se mantuvieron ahí hasta la mañana de ayer, cuando formaron una valla para impedir la entrada de los empleados. Alrededor de las 08:00 horas, tiempo local, alrededor de 150 policías municipales los replegaron. Pese a que se habían instalado mesas de diálogo con el alcalde panista Gustavo Sánchez, algunos de los inconformes señalaron que el motivo para intentar bloquear de nuevo la alcaldía fue que no se han resuelto sus peticiones más importantes. ""No resolvió ninguno (de los puntos). Entre los principales, el permiso de uso de suelo para (la cervecera) Constellation Brands"", señaló Abril Rodríguez, una de las voceras del movimiento. El Gobernador Francisco Vega indicó que los bloqueos ocasionan inconvenientes a los ciudadanos. ""No es lo recomendable para dirimir ninguna diferencia, estoy muy seguro que el presidente municipal resolverá esto mediante sus buenos oficios"", dijo.",https://busquedas.gruporeforma.com/reforma/Documento/Impresa.aspx?id=6308890|InfodexTextos&url=https://hemerotecalibre.reforma.com/20170214/interactiva/RNAC20170214-002.JPG&text=Detienen+a+manifestantes+en+MexicalI&tit=
