,Titulo,Autor,Referencia,Texto,link
0,Vigilarán niños limpieza vial en Tlalpan,Selene Velasco,,"Con pequeños embajadores, elementos de la Delegación y de Cámaras de comercio, Tlalpan arrancó su campaña de concientización ""Haz tu parte"", contra la basura que satura las vías públicas de la demarcación.Desde esta semana, unos 300 calificadores ambientales, entre niños y adultos, portarán playeras distintivas y se encargarán de vigilar y hacer recomendaciones a quienes vean tirando desperdicios en las calles.El principal objetivo de la campaña es crear conciencia entre los habitantes acerca de que las 10 toneladas de basura que se recolectan a diario, sólo en Tlalpan, afectan de forma directa a todos.""Haz tu parte"" tendrá como principales promotores a alumnos de primarias públicas a quienes se les repartirán paletas de madera con mensajes, que se espera, porten de forma permanente y con las que amonestarán a quien incumpla la ley ambiental.La Delegada Claudia Sheinbaum, agregó que pretenden disminuir las inundaciones como las ocurridas esta semana en Coapa.""Lo que pasó en la lluvia es que ese colector no fue suficiente, en vez de que sacara agua salía, no solamente por las coladeras de las calles, por los excusados, los lavaderos, las coladeras de las propias casas porque está tan saturado"", indicó Sheinbaum.La campaña iniciará en escuelas, empresas asociadas a la Confederación Patronal de la República Mexicana (Coparmex), Cámara Nacional de Comercio (Canaco) y Cámara Nacional de la Industria de Restaurantes y Alimentos Condimentados.   Esperan apoyo La Delegada de Tlalpan busca reunirse con el titular de Sacmex. · Gran parte de las anegaciones son por la cantidad de desechos que obstruyen coladeras, calles y vialidades.· Diario se recolectan en Tlalpan 10 toneladas de basura y por cada habitante se generan 1.5 kilos.· Más de 100 familias afectadas tras las tormentas.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879489&TipoTrans=8
1,Echa raíces,Selene Velasco,,"BJ. Los restos de un árbol que cayó desde el lunes por las lluvias en la lateral de Río Churubusco, metros antes de la incorporación hacia Avenida Universidad, fueron apilados sobre la banqueta. Los peatones deben bajar de la acera.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879491&TipoTrans=8
2,Masacre en Kabul,Ángeles Espinosa,,"EL PAÍS INTERNACIONAL DUBAI.- Un camión bomba dejó al menos 90 muertos y cerca de 463 heridos ayer en la capital de Afganistán.El atentado, el más grave ocurrido en esa capital desde la intervención de Estados Unidos en 2001, no fue reivindicado. Los talibanes, quienes combaten para recuperar el poder que perdieron entonces, negaron su responsabilidad.La explosión tuvo lugar poco antes las 8:30 horas locales, hora punta, en uno de los distritos más poblados. Los hospitales cercanos se vieron desbordados por las víctimas, la mayoría civiles que iban al trabajo o a la escuela.Según la Policía, los explosivos estaban escondidos en un camión cisterna de recogida de aguas residuales que estalló cerca del recinto de la Embajada de Alemania.El ataque subraya la fragilidad de Afganistán a pesar de la ayuda militar vertida por Occidente en estos últimos 16 años de guerra.  90 personas, como mínimo, fallecieron en el atentado.463 resultaron heridas, según el Ministerio del Interior.   En zona de Embajadas El atentado en la capital afgana golpeó uno de los distritos más ricos de Kabul. Fuente: NYT  ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879492&TipoTrans=8
3,Endurece EU visas; pide historial en redes,,,"REUTERS WASHINGTON.- El Gobierno de Donald Trump presentó un nuevo cuestionario para las personas de todo el mundo que soliciten una visa para entrar a Estados Unidos.Éste incluye preguntas sobre perfiles en redes sociales durante los últimos cinco años e información biográfica de hasta 15 años atrás, incluyendo direcciones, empleos e historial de viajes.Además, funcionarios consulares pueden solicitar todos los números de pasaporte previos, direcciones de correo y números telefónicos.""(Pedirán los datos adicionales cuando determinen) que tal información es necesaria para confirmar la identidad o realizar una revisión de antecedentes de seguridad nacional más rigurosa"", dijo un responsable del Departamento de Estado.El nuevo cuestionario para la aplicación de visas (http://bit.ly/2qBSrpv) fue aprobado el 23 de mayo por la Oficina de Administración y Presupuesto.Los críticos consideran que esto provocará prolongados retrasos en el proceso y desalentará a estudiantes y científicos internacionales que quieran visitar el país.El Presidente Trump ha prometido reforzar la seguridad nacional, para lo que ha propuesto destinar más fondos a las Fuerzas Armadas y construir un muro en la frontera con México.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879493&TipoTrans=8
4,Pasaporte,Staff y José Díaz Briseño,,"LIDERA PAPA FRANCISCO EN TWITTER Según el estudio ""Twitplomacy"", el Papa Francisco es el líder mundial con mayor número de seguidores en Twitter gracias a sus 9 cuentas en diversos idiomas. Lo siguen el estadounidense Donald Trump, el indio Narendra Modi, el turco Recep Tayyip Erdogan y el emiratí Mohamed bin Rashid.Staff     VUELVEN AL RIN: TRUMP VS. CLINTON El sentimiento enemigo de ambos líderes regresó ayer. ""Trump es impulsivo, reactivo, no entiende las consecuencias de sus acciones (...) No podemos dejar que siga minando los valores de la democracia"".Hillary Clinton, ex candidata demócrata  ""La retorcida de Hillary Clinton ahora culpa a todo el mundo y no a ella misma y se niega a decir que era una terrible candidata. Ataca al partido demócrata y al Comité Nacional"" Donald Trump, Presidente de Estados Unidos    CONCLUYEN SIN ACUERDO EN LA OEA WASHINGTON. La reunión de Cancilleres en la OEA sobre la crisis en Venezuela concluyó ayer sin ningún acuerdo, pero con dos propuestas diferentes: una impulsada por el grupo de países liderado por México y otra del contingente de naciones caribeños.José Díaz Briseño   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879494&TipoTrans=8
5,"Van mil ejecutados, y policías, ¡en paro!",Jesús Guerrero,Matan a 6 cada día en Guerrero... y mil agentes paran labores. Cesan en definitiva a 176 de los paristas; marchan y bloquean Autopista del Sol,"CHILPANCINGO.- Al menos 942 personas fueron asesinadas en Guerrero en los primeros cinco meses del año, un promedio de más de 6 víctimas al día, según cifras de la Secretaría de Seguridad Pública del Estado.Y, mientras el problema se agrava cada día, casi mil policías estatales declararon desde el lunes un paro en demanda de mejores condiciones laborales.Los esfuerzos de los últimos dos días de llegar a un acuerdo con los uniformados fracasaron, y ayer 176 agentes fueron notificados de su cese definitivo de la corporación.En protesta, los policías marcharon sobre la Autopista del Sol hasta la sede de la Comisión de los Derechos Humanos de Guerrero, donde interpusieron una queja.Los agentes exigen ser reinstalados y que se regrese al esquema de tres días de trabajo (acuartelados) y tres de descanso, un bono de riesgo de 2 mil pesos al mes que les prometió el Gobernador Héctor Astudillo y equipo y armamento nuevos, entre otras demandas.Tan sólo entre martes y miércoles se registraron 21 víctimas de asesinato, entre ellas personas cuyos cadáveres fueron hallados en dos fosas clandestinas en Ajuchitlán del Progreso, en la región de Tierra Caliente.En esta zona se libra una cruenta batalla entre los grupos criminales de Los Tequileros y La Familia Michoacana, que ha dejado decenas de muertos y secuestrados.Además, cinco hombres murieron en un enfrentamiento armado entre grupos criminales en el Municipio de Leonardo Bravo, en la región centro del Estado.En Acapulco, autoridades reportaron la ejecución de cinco personas, incluyendo un hombre y una mujer que fueron desmembrados y hallados en el interior de una camioneta en la Avenida del Prado, en el Fraccionamiento Club Deportivo.Y en Chilpancingo, dos menores, de 14 y 15 años, fueron asesinados por tres jóvenes armados a plena luz del día en los pasillos del área de carnes del mercado Baltazar R. Leyva Mancilla.Las detonaciones, unas 10, provocaron que la gente se tirara al piso para ponerse a salvo de una bala perdida.Uno de los agredidos falleció de manera inmediata y el otro resultó herido, pero murió cuando era atendido en el Hospital General Raymundo Abarca Alarcón. Ambos se dedicaban a cargar bolsas de mandado a los clientes.La tarde de ayer también fue ultimado a tiros el ex comisario municipal de la comunidad de Atliaca, del Municipio de Tixtla, Victorino Iglesias Alarcón, quien militaba en el PRD.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879495&TipoTrans=8
6,Abaten a 7 en el Edomex,Cristina Hernández y Guadalupe Fernández,,"La zona oriente del Estado de México vivió ayer una jornada violenta que dejó al menos siete personas asesinadas a unos días de los comicios en los que se eligirá Gobernador.Uno de los casos más graves se registró en Chalco, en donde fueron encontrados los cuerpos calcinados de una mujer y dos menores de edad y otro hombre fue asesinado en una fonda. En el mismo Municipio, dejaron un cadáver maniatado.      ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879496&TipoTrans=8
7,Acusa Cadena desvíos hacia mítines de AMLO,Érika Hernández y Benito Jiménez,,"Eva Cadena, diputada local de Veracruz, acusó a Morena de desviar recursos del Congreso de esa entidad para los mítines de Andrés Manuel López Obrador.""Los bonos que supuestamente no reciben los diputados de Morena sí los reciben para financiar actividades partidistas, como las visitas de López Obrador.""Estos recursos son irregulares en cuanto a su origen y, por lo mismo, se utilizan discrecionalmente"", acusó la legisladora en una conferencia en la Ciudad de México.Cadena tuvo que renunciar a la candidatura de Morena a la Alcaldía de Las Choapas tras revelarse videos donde recibe dinero presuntamente para el tabasqueño.Un documento en poder de REFORMA muestra, además, cómo Benito Soriano Aguilera, aspirante a regidor por Morena en Coatzacoalcos, habría recibido 1.2 millones de pesos del Congreso veracruzano el 21 de abril.El concepto de esta gratificación es por ""apoyo"" y ""pago a asesores"" de la fracción de Morena en Veracruz, que coordina el legislador Amado Cruz Malpica.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879497&TipoTrans=8
8,Crece polémica por tuits,,,La Embajada de Venezuela en México borró los tuits con los que celebraba el acompañamiento de Morena a ese país.Dichos mensajes daban cuenta de una reunión organizada por la Escuela de Formación Política de Morena a la que acudió la Embajadora María de Lourdes Urbaneja.      ,https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879498&TipoTrans=8
9,Denuncian transas en Chihuahua,Mayolo López,,"El PAN exigió al INE abrir una investigación sobre la transferencia de 6 millones de pesos que hizo el Gobierno de César Duarte en Chihuahua al actual secretario de Vinculación con la Sociedad Civil del PRI, Christopher James Barousse.Jorge López Martín, representante panista ante el Instituto, entregó el documento, dirigido al consejero presidente, Lorenzo Córdova, en la Oficialía de Partes.""Solicito su amable intervención para que, en su calidad de presidente del máximo órgano rector de las funciones electorales, puedan iniciarse las investigaciones por la Unidad Técnica de Fiscalización (...) y en su caso sancionar a los responsables"", indica el documento.El Gobierno de Chihuahua investiga una caja chica de Duarte desde la que se habrían desviado más de 360 millones de pesos, entre cuyos beneficiarios figura James Barousse.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=1879499&TipoTrans=8
