,Titulo,Autor,Referencia,Texto,link
0,Escalan protestas por fideicomisos,Mayolo López e Israel Sánchez,Cuestionan científicos del mundo extinción de fondos. Impiden activistas acceso al Senado ante desaparición de bolsas de apoyo,"El rechazo a la extinción de 109 fondos y fideicomisos va en aumento.Al cuestionamiento de colectivos de defensa de derechos humanos y familiares de víctimas de feminicidios y de violencia, quienes se instalaron frente al Senado para impedir la discusión del tema, se sumaron científicos del mundo, a través de un posicionamiento.Más de 700 representantes de universidades como Harvard, Oxford, Yale, Cambridge, Stanford y el Instituto de Tecnología de Massachusetts (MIT) calificaron la de-saparición de los fideicomisos como un ""duro golpe"" para la ciencia y tecnología, y llamaron a legisladores a reconsiderar su apoyo al proyecto.""(Los fideicomisos) dan soporte económico a proyectos de investigación multianuales, y son pilar fundamental para el mantenimiento de infraestructura, equipo y tecnologías de la información de instituciones académicas de excelencia a nivel mundial.""Si se suprimen los fideicomisos, se cerrarán las puertas a nuevas aportaciones económicas de este origen para apoyar investigaciones futuras en los centros públicos de investigación. Nos preocupa que se limitará considerablemente la colaboración con los colegas mexicanos"", externaron los científicos internacionales.En el Senado, colectivos por la defensa de los derechos humanos y familiares de víctimas de la violencia expresaron su desacuerdo al senador morenista Alejandro Armenta, presidente de la Comisión de Hacienda, a través de un teléfono celular que les acercó la panista Kenia López, afuera del Senado.""Ustedes dicen que 'con el pueblo todo, y que sin el pueblo nada', pues el pueblo les demanda que no desaparezcan los fideicomisos"", exigió Karla Guerrero, de un colectivo de San Luis Potosí.""Morena no puede hacer historia despreciando a las víctimas"", advirtió Guadalupe Mendiola.Las actividades ordinarias en la Cámara alta no se pudieron llevar a cabo debido al bloqueo registrado desde las 10:00 horas, y los legisladores buscaron una sede alterna en un hotel de La Alameda para discutir el dictamen de extinción de fideicomisos.Sin embargo, el trámite, a través del cual el Gobierno federal busca obtener al menos 68 mil millones de pesos, quedó a medias, pues sólo fue aprobado en la Comisión de Hacienda. La senadora morenista Ifigenia Martínez votó en contra y Celeste Sánchez, suplente de Citlalli Hernández, virtual secretaria general de Morena, se abstuvo.La Comisión de Estudios Legislativos Segunda no pudo sesionar por falta de quórum.   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190007&TipoTrans=8
1,Cierran paso a senadores,,,"Hijos de padres desaparecidos, y otros manifestantes, bloquearon ayer uno de los accesos al Senado de la República en protesta por la extinción de fideicomisos. A la medianoche granaderos se desplegaron alrededor de la Cámara alta.    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190008&TipoTrans=8
2,Muerto y violencia en toma de caseta,,,"El punto de cobro de Zinapécuaro, Michoacán, fue tomado por el grupo ""Juvenil Guerrero"", luego de que la noche del domingo un conductor atropelló a dos de sus integrantes, uno de los cuales murió; la SCT retiró a su personal después de que con palos y piedras los manifestantes amagaron con acciones de mayor violencia.      ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190009&TipoTrans=8
3,Transparentan compras hasta 6 meses después,Rolando Herrera,,"El Gobierno federal tarda hasta seis meses en publicar en Compranet la adjudicación de contratos que debería hacer públicos durante los siguientes cinco días hábiles después de su firma.En su estudio ""Compras públicas en México, Transparencia tardía: ejecutando los contratos a ciegas"", el Instituto Mexicano para la Competitividad (IMCO) revisó alrededor de 350 mil procesos en los que constató esa tardanza, tanto en el sexenio pasado como en el actual.En 2018, durante el último año del Presidente Enrique Peña, el 59.5 por ciento de los contratos fue reportado de manera extemporánea, en tanto que en 2019, que es el primer año de la gestión de Andrés Manuel López Obrador, la proporción fue de 52.6 por ciento.La falta de oportunidad para reportar las contrataciones, señaló el Instituto, es aún peor si se mira por tipo de contratación, pues para el caso de las adjudicaciones directas en 2018 el 72 por ciento de ellas no fueron reportadas oportunamente y en 2019 fue el 63 por ciento las que se subieron de manera tardía.""En el caso de las compras públicas, la publicación de la información permite detectar ineficiencias, anomalías y abusos, los cuales afectan la calidad de los servicios, adquisiciones e infraestructura pública"", advirtió el Instituto.""Por ello, es indispensable que en los procedimientos de contratación haya total claridad de qué, a quién y en qué condiciones está comprando el Gobierno, y que esa información sea pública de manera oportuna y previa a la ejecución del contrato"", señaló.",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190011&TipoTrans=8
4,Alertan que militarización eleva muertes de mujeres,Antonio Baranda,,"Los enfrentamientos entre las Fuerzas Armadas y los grupos delictivos han exacerbado la cultura de la violencia en el País, lo que a su vez ha derivado en más asesinatos de mujeres, advirtió la organización feminista Intersecta.En su informe titulado ""Las dos guerras"", advirtió que entre 2007 y 2018 los homicidios de mujeres se incrementaron 2.12 por ciento tres meses después de cada enfrentamiento en que participó personal del Ejército.Y en los enfrentamientos en los que participaron miembros de la Marina, el aumento estimado de muertes de mujeres fue en promedio de 12.5 por ciento tres meses después de cada enfrentamiento, según el informe elaborado en colaboración con Laura H. Atuesta, del Programa de Política de Drogas del CIDE.""La militarización de la seguridad pública, vista a través de los enfrentamientos de las Fuerzas Armadas, ha contribuido a la crisis actual de la violencia. Una crisis que ha tenido como resultado que maten, en promedio, a 10 mujeres al día"", señala el documento de más de 100 páginas.Entre 2007, primer año del sexenio de Felipe Calderón, y 2018, último año de gestión de Enrique Peña, se contabilizaron 4 mil 892 enfrentamientos en los que se vieron involucradas las Fuerzas Armadas.Sobre las dos ""guerras"" que enfrentan las mujeres en México, la organización Intersecta describe la del machismo y la misoginia que condiciona su día a día en la casa, escuela, trabajo, la calle y sus relaciones; y la de las drogas, que provoca una violencia generalizada.",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190012&TipoTrans=8
5,Mutilan y matan a niña de 13 años en Tixtla,Jesús Guerrero,,"TIXTLA.- El cadáver de Ayelín Iczae Gutiérrez, una niña de 13 años de edad, fue hallado ayer, mutilado, en una brecha de este municipio de Guerrero.Ayelín desapareció el pasado jueves 15 en la misma zona donde fueron hallados sus restos, dijeron sus familiares.""Yo creo que mi hija aquí la tenían en la colonia y la fueron a tirar en pedazos al mismo sitio de donde se la llevaron"", dijo su padre Luis Miguel Gutiérrez.Al cadáver lo reconocieron por los tenis y la ropa que la menor llevaba el día que desapareció.Ayelín vivía en una casa de madera y techo de lámina galvanizada en la Colonia La Candelaria, que se fundó hace cuatro años y que solamente tiene el servicio de luz eléctrica. Cursaba el segundo año en la secundaria 60 de Tixtla.El jueves 15, Ayelín se iba a reunir con su madre y su hermana para comer en el puesto de venta de material de reciclaje donde ellas trabajan, a un costado de la carretera Tixtla-Chilapa, pero nunca llegó.",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190013&TipoTrans=8
6,Culpan morenistas de derrota ¡a Morena!,Erika Hernández y Rolando Chacón,,"Las diferencias entre grupos y la imposición de candidatos jugaron en contra de Morena en las elecciones de Hidalgo y Coahuila, reconocieron integrantes de ese partido.""Las elecciones en Coahuila e Hidalgo constituyeron un serio revés. Demuestran que necesitamos un partido sólido y organizado. Urge la reorganización de Morena"", señaló Porfirio Muñoz Ledo, aspirante a la dirigencia.""Es más duro perder cuando te traicionan desde tu partido. La doctora Miroslava Sánchez y su hermana Hortensia ayudaron al adversario. Se le dijo a Alfonso Ramírez Cuéllar y no hizo caso, no sé si por ignorancia o complicidad"", acusó el senador de Coahuila, Armando Guadiana.     ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190014&TipoTrans=8
7,Águilas en peligro,,,"América sucumbió ante León, salió de los lugares que dan pase directo a Cuartos de Final y, para colmo, podría perder a Benedetti por lesión. LEÓN 3-2 AMÉRICA    ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190016&TipoTrans=8
8,Cobertura en México,,Covid19,"Contagios Oficiales:854,926Tasa de letalidad: 10.1%Muertos: 86,338Pruebas realizadas: 2,187,985  reforma.com/covid19   ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2190017&TipoTrans=8
9,Denuncian a Pemex por planta chatarra,Víctor Fuentes,Reclama empresa pago de $332 millones. Construyen plantas de tratamiento que se quedan sin utilizar,"Una empresa contratada para la rehabilitación de la planta chatarra de Agronitrogenados, comprada por Pemex en 2013, presentó una demanda judicial para exigir el pago de al menos 332 millones de pesos.OPCO Soluciones reclama pagos pendientes a ProAgroindustria, la sociedad anónima creada por Pemex en tiempos de Emilio Lozoya para concretar la compra de la planta en Veracruz, por la que pagó 275 millones de dólares a Altos Hornos de México (AHMSA)La empresa fue contratada en 2016 para construir plantas de tratamiento de agua y de químicos, en las que invirtió 219 millones de pesos, a cambio de una concesión de 25 años durante los cuales cobraría una tarifa mínima mensual por el suministro de dichos productos.Desde 2017, cuando Lozoya ya no era director de Pemex, empezó a reclamar falta de pago.En 2018, OPCO ya estaba suministrando agua tratada y tratamiento químico y tenía derecho a cobrar 24.6 millones de pesos, pero las plantas de producción de urea a las que estaba destinado el suministro aún no estaban terminadas.La empresa intentó entregar las plantas en marzo de 2020, pero por lo menos en lo que corresponde a la de tratamiento de agua, Pemex manifestó que ""existe imposibilidad"" para recibirla.""No hemos recibido los pagos pactados en nuestro contrato de servicios, lo cual nos ha provocado una grave situación de liquidez; con gran esfuerzo, OPCO ha cubierto con recursos propios los costos de inversión, administración, operación, mantenimiento así como costos y gastos financieros. Sin embargo, a últimas fechas la falta de pagos ha tornado insostenible esta situación"", señaló la empresa en una carta abierta publicada en marzo por medios de Veracruz.La demanda mercantil iniciada por OPCO está en trámite ante el Juzgado Tercero de Distrito en Materia Civil en la Ciudad de México desde agosto de 2019, pero ha sufrido varios contratiempos que han retrasado el trámite del juicio.En noviembre, el juzgado declaró fundado un incidente de falta de personalidad de los representantes deOPCO, que tuvieron que apelar. En tanto, el juzgado estuvo a cargo de un secretario, hasta que el Consejo de la Judicatura Federal designó el pasado 5 de agosto como titular a José Luis Amaya, por lo que está pendiente que se dicte sentencia.OPCO fue solo una de múltiples empresas contratadas por ProAgroindustria para tratar de rehabilitar la planta de 30 años de antigüedad, operación que ha resultado un desastre para Pemex, con pérdidas estimadas en 8 mil millones de pesos.""Se incumplieron los objetivos y las metas de poner en operación la planta de fertilizantes nitrogenados, los costos se rebasaron de 195 millones de dólares a 443 millones de dólares, los tiempos se alargaron de 610 a 943 días calendario y a la fecha de esa auditoría (noviembre de 2017) no se habían generado utilidades para el Estado, por lo que el proyecto ya no era rentable"", señaló la Auditoría Superior de la Federación en 2018.  Inversión onerosa En su informe de revisiones de la Cuenta Pública de 2018, la Auditoría Superior de la Federación indicó que: · Pro-Agro (antes Agronitrogenados, adquirida en 2013) es una empresa filial de Pemex Fertilizantes ubicada al norte de la laguna de Pajaritos en Coatzacoalcos, Veracruz.· La empresa se integró por seis plantas: dos de producción de urea, una de ácido nítrico, una de nitrato de amonio solución, una de nitrato de amonio aperdigonado y una de soluciones nitrogenadas.· Ninguna de ellas operó en 2018.  ",https://www.reforma.com/libre/online07/aplicacionEI/webview/iWebView.aspx?Coleccion=1066&folio=2189913&TipoTrans=8
