,Titulo,Autor,Referencia,Texto,link
0,"Pese a orden del INAH, continúa trabajos la mina de San Pablo Atlazalpan",,"Periódico La JornadaMiércoles 1º de agosto de 2018, p. 36","Pese a que el Instituto Nacional de Antropología e Historia (INAH) ordenó al municipio de Chalco, estado de México, que suspendiera los trabajos de una mina de roca basáltica en la comunidad de San Pablo Atlazalpan, debido a las afectaciones que causó en un monumento histórico, los responsables de dicho proyecto han evadido esa orden, lamentaron habitantes del lugar.
Como ya se ha informado en este diario (1º de abril y 6 de mayo de 2018), la empresa Creatividad e Inteligencia en Construcción, SA de CV, llegó a finales de 2017 a la mencionada localidad para explotar un yacimiento de basalto, lo cual perjudicó el filtro de agua que abastece a miles de personas y comenzó a generar daños en la salud de los habitantes, por el polvo y el ruido que causan sus máquinas.
De igual manera, los vecinos inconformes con el proyecto aseguraron que la compañía ha tratado de dividir a la comunidad con ofrecimientos falsos de ayuda, y ha afectado seriamente la estructura de la hacienda de San José Axalco –en cuyos terrenos opera la mina–, que data del siglo XVIII y está incluida en la lista de monumentos históricos del INAH.
Fue justamente el tema de los daños a ese sitio el que provocó que el INAH ordenara al gobierno municipal de Chalco la suspensión inmediata de actividades del proyecto extractivo, hasta que personal de ese instituto pudiera hacer un recuento preciso de las afectaciones a la hacienda.
De acuerdo con integrantes del Consejo Comunitario Atlazalpan, la mina paró sus labores durante unos cuantos días, pero después las reinició a escondidas, con la aparente complicidad de las autoridades municipales, quienes no han acudido a la zona a verificar el cumplimiento de la suspensión de trabajos.
Al mismo tiempo, señalaron los inconformes, la Procuraduría de Protección al Medio Ambiente del estado de México (Propaem) se ha negado a explicarles las razones por las cuales la mina fue cerrada durante unos cuantos días en mayo pasado, tampoco dijo por qué permitió el reinicio de sus labores.
La última vez que fuimos a la Propaem les dijimos que la mina no debería estar abierta. Ellos nos respondieron que habían ordenado una suspensión de actividades por no cumplir algunas condicionantes, pero que la levantaron porque ya las cumplieron; y siguen sin explicarnos cuáles son esas condicionantes, lamentaron los pobladores.
",https://www.jornada.com.mx/2018/08/01/sociedad/036n2soc
1,Acusan a la minera canadiense Torex de contaminar ríos,,"Periódico La JornadaMiércoles 3 de enero de 2018, p. 8","La empresa canadiense Torex Gold Resources, ubicada en Cocula, Guerrero, está generando una grave, riesgosa e inhumana contaminación por las descargas de desechos químicos que utiliza para la explotación de oro y plata, los cuales son vertidos en el río Mezcala y la presa hidroeléctrica El Caracol, que llega al Balsas.
Trabajadores de la mina la Media Luna –que pertenece a esta empresa–, la cual se encuentra en paro, y comisarios ejidales de la zona del Nuevo Balsas indicaron que es altamente peligrosa para pobladores y ecosistemas la saturación de desechos en la presa y otros afluentes.
Esta situación se suma al conflicto laboral de Torex Gold Resources con mineros, porque el consorcio no respeta la libertad sindical de los empleados. Quiere imponer un sindicato de protección de la Confederación de Trabajadores de México, pese a que la mayoría determinó afiliarse al sindicato nacional minero.
En entrevista en Ciudad de México, señalaron que la comunidad de Cocula está conformada por cerca de 700 habitantes, de los cuales 80 por ciento se dedica a la pesca de mojarra y tilapia, actividad que se verá aniquilada si Torex Gold continúa arrojando sus desechos a la hidroeléctrica. Además, está poniendo en riesgo la salud de la población, el abasto de agua y la sustentabilidad de los sistemas ecológicos de la región.
Aseguraron que tienen pruebas de la contaminación que está provocando el consorcio, el cual está comprando a las autoridades, ya que mensualmente entrega entre 150 mil y 200 mil pesos al ayuntamiento para poder operar. Por ello demandan que se realicen estudios independientes sobre el impacto ambiental que está generando Torex Gold.
Según afirmaron, el agua de la hidroeléctrica presenta contaminantes químicos 200 por ciento arriba de los límites permisibles. Ello, por los desechos que la compañía arroja a los cuerpos de agua, lo que está provocando graves enfermedades a los habitantes, sobre todo en aparato digestivo, piel y vías respiratorias.
Adicionalmente, se ha documentado un descenso de la población de peces y se están muriendo flora y fauna de la zona.
Puntualizaron que gran parte de los trabajadores vienen de otros estados, como Sonora, Sinaloa y Chihuahua. Algunos son de Nuevo Balsas y El Limón, los cuales se mantienen en paro en demanda de libertad sindical.
Denunciaron que, para extraer minerales, la empresa utiliza el procedimiento de lixiviación por cianuro, cuyos remanentes son descargados directamente y de manera impune en el Balsas. Además lleva a cabo explosiones para extraer de la montaña el mineral, y las piedras que caen sobre los cuerpos de agua están desviando cauces importantes.
La empresa, lejos de ser un detonante económico para la región, ha incumplido compromisos con las comunidades. Aplica un tratamiento de aguas residuales que está afectando irreversiblemente el ecosistema.
",https://www.jornada.com.mx/2018/01/03/politica/008n1pol
2,El Correo Ilustrado,"
",,"QRepudio a la violencia en campañas electorales
uienes suscribimos, integrantes del grupo de opinión La Palma, tenemos distintas preferencias partidarias pero hemos coincidido en el repudio a la violencia en las campañas electorales. Por ello condenamos la agresión ocurrida el pasado 3 de enero, durante un acto de campaña de Claudia Sheinbaum, en Coyoacán. Diversos medios de comunicación han identificado a personas que laboran en el gobierno de esa delegación como los agresores y quienes encabezaron a un grupo de choque. Consideramos que dichos actos son impropios y contrarios a los principios democráticos. Exigimos se lleve a cabo una investigación imparcial de estos hechos y se sancione a los responsables con base en la ley. El gobierno de la ciudad debe garantizar que estas deleznables actuaciones no se repitan en ningún caso. ¡No más violencia!
Grupo La Palma: Saúl Escobar Toledo, Dorisol González Cuenca, Marlon Berlanga, Adriana Luna Parra, Jesús Zendejas, Rosa María Cabrera Lofte, Bernardo Aguilar, Osbelia Arellano López, Gerardo Occelli, Citlalli Valencia Cuesta, José Luis de Gante, Nancy Correa Grande, José Antonio Rueda, Carmen Vera Juárez, Agustín Guerrero, Margarita Hernández Rodríguez, José Luis Gutiérrez Cureño, Carolina Verduzco, Delfino Ríos, Guadalupe Miranda, Joaquín Vela, Héctor Cortés, Enrique Romero, Miguel Moreno Brizuela, Camilo Valenzuela, Mónica Soto, Armando Quintero y Leonel Godoy Rangel
Alto a la represión contra la CRAC-PC y el Cecop
Los investigadores adscritos a la Dirección de Etnología y Antropología Social del Instituto Nacional de Antropología e Historia condenamos los hechos ocurridos el 7 de enero en la comunidad de La Concepción, Guerrero, donde 11 personas fallecieron y 38 fueron detenidas. Cinco de los hombres asesinados cumplían su servicio como policías comunitarios.
La región de Cacahuatepec, zona rural del municipio de Acapulco, alberga la lucha de las comunidades campesinas en contra de la expropiación de sus tierras y del desplazamiento al cual serían obligados por la construcción de una presa sobre el río Papagayo. El Concejo de Ejidos y Comunidades Opositoras a la presa La Parota (Cecop) es fruto de esta resistencia y destaca como ejemplo exitoso de defensa del territorio. En 2015, frente a la escalada de violencia estatal y criminal en la zona, comunidades de Cacahuatepec se integraron a la Coordinadora Regional de Autoridades Comunitarias-Policía Comunitaria (CRAC-PC), institución popular que aglutina a comunidades organizadas en defensa de la seguridad y la justicia, y son ejemplo de resistencia de los pueblos indígenas y campesinos frente al despojo brutal de sus bienes más preciados: la vida, el territorio y la dignidad.
Denunciamos la estrategia de represión que utiliza las fuerzas de seguridad para detener y asesinar a los encargados de la seguridad comunitaria.
Señalamos al gobierno de Guerrero por su reiterada política de violación a los derechos fundamentales de quienes son obligados a vivir en situaciones extremas de violencia estatal y criminal.
Respaldamos la digna lucha de la CRAC-PC y del Cecop en defensa de la vida, el territorio y la dignidad.
Amparo Sevilla, Eliana Acosta, Hugo López, Verónica Ruiz, Giovanna Gasparello, Eduardo González, Maya Pérez, Laura Corona, Isabel Hernández, Javier Guerrero, Rosa Garza, Arturo Motta, Cristina Masferrer, María Rodríguez, Antonio Machuca y Claudia Harris
Cuarto encuentro de damnificados de Ciudad de México
Ya entrado el nuevo año y a casi cuatro meses del terremoto que devastó a Ciudad de México, la situación de emergencia no ha pasado y la normalidad no ha regresado como nos quieren hacer creer, pues la ciudad sigue sembrada de cientos de inmuebles dañados y muchos miles de familias damnificadas continúan fuera de sus casas, refugiadas en albergues, campamentos o casas de familiares y amigos, sin encontrar soluciones reales, sólo discursos de apoyo y ofrecimientos de créditos, o sea, pasar de víctimas a deudores en manos de la banca y las inmobiliarias. Las diferentes instancias de gobierno han hecho oídos sordos y es la fecha en que ni siquiera hay un censo completo y confiable y mucho menos un verdadero proceso de reconstrucción.
Pero los damnificados estamos organizados y dispuestos a luchar por no ser olvidados ni marginados, por una verdadera reconstrucción que asuma la responsabilidad pública para recuperar la seguridad y tranquilidad de la ciudad y las necesidades de las y los afectados por el sismo. Por eso este próximo sábado 13 de enero realizaremos nuestro Cuarto Encuentro de Damnificados para Damnificados de Ciudad de México a partir de las 9 horas, en el Plantel del Valle de la Universidad de la Ciudad de México, ubicado en San Lorenzo 290 casi con Adolfo Prieto, atrás del hospital 20 de Noviembre, en la delegación Benito Juárez. Hacemos la más cordial y solidaria invitación a todas y todos los damnificados de la ciudad. Debemos tomar juntos el problema en nuestras propias manos.
Damnificados Unidos de Ciudad de México. Responsable: Héctor de la Cueva
Esperan que EU tenga ideas para evitar la venta de armas y el flujo de drogas
Estamos esperando que en Estados Unidos tengan buenas ideas como, por ejemplo, impedir la venta de armas a los cárteles mexicanos, detener el flujo de drogas en su territorio (se calcula que a un costo de 300 mil millones de dólares anuales) y sancionar a los bancos que lavan dinero. ¿Verdad que también les toca hacer su parte?
Eduardo del Castillo, director de Códice
Invitaciones
Concierto en beneficio del 19-S
Concierto en beneficio de Guadalupe Lupita Vázquez 19-S, en el Teatro Enrique Lizalde (antes Coyoacán), ubicado en cerrada de Eleuterio Méndez 11, colonia San Mateo, Coyoacán. Sábado 13 de enero, a las 18 horas. Participan la orquesta Tamoanchan, bajo la dirección de Gerardo Tamez, Gabino Palomares, Ernesto Anaya y Anastasia Guzmán Sonaranda. Informes: [email protected]; [email protected]. WhatsApp/Teléfonos: 5528433713 y 5511363696
Conferencia sobre ley de alcaldías
Conferencia sobre la ley de alcaldías, recientemente aprobada, que impartirá el diputado Alfonso Suárez del Real, el sábado 13 de enero a las 10:45 horas, en el Salón de Cabildos de la delegación Cuauhtémoc, segundo piso del edificio delegacional, que se ubica en la calle de Aldama y Mina, colonia Buenavista. Metro Revolución o Metro Buenavista.
Luis Valdivia Ochoa, Formación y Educación Ciudadana
Proyección de documental
Se invita a la proyección del documental Esto soy, en la Casa Ciudadana de Virgilio Caballero, ubicada en Andalucía 84, colonia San Rafael, Azcapotzalco. El viernes 12 de enero, a las 17:30 horas. La estación del Metro Camarones es la más cercana al lugar. Informes: 70452279 y 50360000, ext. 67138
Emmanuel Díaz y Alejandro Cadena





",https://www.jornada.com.mx/2018/01/12/index.php?section=correo
3,"En Xoco no cesan los megaproyectos, pese al daño provocado",,"Periódico La JornadaJueves 2 de agosto de 2018, p. 33","A pesar del cerco que ha significado para los habitantes del pueblo de Xoco la construcción de megaproyectos, continúan dos más: Agatha, de Quiero Casa, y Urbano Park, que se sumaron a los desarrollos inmobiliarios Ciudad Progresiva y las enormes torres de departamentos de City Towers, edificadas en un poblado que se regía por usos y costumbres donde las grandes construcciones no estaban permitidas.
Los proyectos, informaron los oriundos del poblado, han violado los usos de suelo que por años mantuvo la comunidad. Las autoridades, por medio de polígonos de actuación privados, modificaron a placer de los desarrolladores inmobiliarios las normas de uso suelo.
El pasado martes los pobladores reactivaron su rechazo a éstos megaproyectos y en su desesperación por exigir un alto bloquearon avenida Universidad. Trataron de programar una reunión entre los vecinos, las autoridades de la delegación Benito Juárez y de la Ciudad de México, pero fuera del poblado.
Querían desactivar el movimiento ciudadano, pero los vecinos los rechazamos, expresaron. No obstante, ayer nadie sabía cuál fue la respuesta de la autoridad a su exigencia; sin embargo, mantenían su rechazo a las grandes obras.
Recordaron que el proyecto de la torre Mitikah no es el primero que se construye en el pueblo de Xoco, pero sí de los más grandes. Mencionaron a City Towers, que si bien está sobre vialidades primarias, para dotarlos de servicios utilizaron las mismas redes de distribución que abastecen al pueblo.
Los habitantes de Xoco quedaron atrapados entre la urbanización. Además de los enormes bloques de departamentos, los gobiernos panista de Benito Juárez y perredista de la Ciudad de México nos impusieron con sus polígonos de actuación privados, primero a Ciudad Progresiva y después a Agatha y Urbano Park.
Los desarrollos, precisaron, se traducen en falta de agua, apagones por descargas eléctricas, saturación de vialidades e inseguridad, porque hasta el momento ninguna de estas empresas ha invertido en obras de mitigación, pese al deterioro del poblado.
",https://www.jornada.com.mx/2018/08/02/capital/033n2cap
4,Exigen anular permisos para construir tres torres,,"Periódico La JornadaJueves 2 de agosto de 2018, p. 33","Habitantes de la delegación Álvaro Obregón interpusieron una acción pública ante el Tribunal de Justicia Administrativa (TJA) de la Ciudad de México para exigir la anulación de todas las autorizaciones que se otorgaron para construir tres torres –de 13, 11 y 10 niveles– en la calzada Desierto de los Leones número 5547, con 233 departamentos de lujo.
Los vecinos, que ayer por la mañana bloquearon el ingreso de maquinaria al predio donde se realiza la obra, explicaron que la norma de vialidad que les permitía construir con más altura y densidad a la permitida en el plan de desarrollo urbano delegacional ya fue derogada.
El arquitecto Jorge Alanís, quien promovió el recurso legal ante el TJA, detalló que en el decreto emitido sobre el tema en la Gaceta Oficial de la Ciudad de México se establece que todas las obras autorizadas al amparo de dicha disposición que no se habían realizado debían detenerse.
El proyecto arquitectónico, que se desarrolla en un terreno de 10 mil metros cuadrados junto a una barranca, incluye también la construcción de cinco y seis pisos subterráneos, para 614 cajones de estacionamiento.
Alanís señaló que hay una serie de irregularidades en los permisos otorgados por las autoridades, en los que se contraponen disposiciones de las normas que se utilizaron para permitir un desarrollo de esta magnitud.
De acuerdo con el programa delegacional, añadió, el predio tenía permitido una densidad baja, es decir, una vivienda por cada 500 metros, por lo que sólo se podía construir 20 viviendas, pero se autorizó un polígono de actuación, que es válido cuando se trata de dos o más terrenos y no como ocurre en este caso donde sólo hay uno.
También se hizo uso de la norma de ordenación número dos para construir por debajo del nivel de la banqueta, que establece que sólo se permitirá el desplante de 25 por ciento de la superficie y una altura de siete niveles o 21 metros, cuando en los hechos el edificio más alto está proyectado con 13 pisos.
Señaló que también hay conflicto de intereses, porque el director de Administración Urbana de la Secretaría de Desarrollo Urbano y Vivienda que se encarga de hacer las autorizaciones es el mismo que firma el proyecto de la empresa.
Estamos pidiendo la nulidad de todas las autorizaciones porque están plagadas de irregularidades que pueden causar afectaciones graves al patrimonio del entorno urbano.,
",https://www.jornada.com.mx/2018/08/02/capital/033n1cap
5,"La Huasteca potosina, en alerta contra el fracking",,"Periódico La JornadaJueves 2 de agosto de 2018, p. 30","San Luis Potosí, SLP.
Más de 50 comunidades de los municipios de San Antonio, Xilitla, Tanquián, Tamuín, Tanlajás y San Vicente se declararon ayer en sesión permanente ante la pretensión de Petróleos Mexicanos (Pemex) de explotar hidrocarburos en la Huasteca potosina mediante fractura hidráulica (fracking).
En asamblea, más de mil campesinos rechazaron el proyecto y advirtieron que se opondrán ‘‘hasta con la vida’’ a que Pemex explote gas butano en la comunidad de San Pedro, municipio de San Antonio.
Acordaron formar una comisión especial encabezada por el secretario del ayuntamiento de San Antonio, Carmelo Rodríguez Rojas, quien aseguró que este año Pemex ha enviado varios avisos del inicio de perforaciones para extraer gas.
El alcalde de San Antonio, Agustín González Hernández, advirtió que no se permitirá el fracking porque ‘‘sería perder nuestro ecosistema y la poca agua que hay en las comunidades. En lo que resta del trienio, mi postura siempre será la misma: no al fracking. Vamos a defendernos hasta las últimas consecuencias’’.
El munícipe electo, Edyunary Castillo, aseguró que, sustentado en la ley, mantendrá la misma postura y adelantó a los asistentes que promoverá un amparo federal no sólo contra Pemex, sino también contra la Secretaría de la Defensa Nacional.
Raúl Rivera, presidente electo de Tanlajás, externó que el daño al ecosistema ‘‘no se permitirá ahora ni nunca. No vamos a permitir que pasen por Tanlajás con explosivos para San Antonio. Apoyaremos a nuestros hermanos porque es un problema que nos afecta a todos’’.
Alejandro Leal Tovías, secretario general de Gobierno, afirmó que Pemex no está interesado ni tiene concesión alguna para extraer combustibles mediante fractura hidráulica en la Huasteca.
Admitió que a pesar de que el gobierno federal ya ha detectado reservas de gas de lutita (shale) en la Huasteca, el estatal no conoce proyectos específicos ni licitaciones para explotar esta región.
Agregó que, de acuerdo con la reforma energética, estos yacimientos, así como los campos petrolíferos, deben ser licitados para su explotación y aprovechamiento, y los proyectos deben ser sometidos a consulta para desarrollarlos.
",https://www.jornada.com.mx/2018/08/02/estados/030n1est
6,Bloquean eólica en Oaxaca,,"Periódico La JornadaViernes 3 de agosto de 2018, p. 31","El Espinal, Oax.
Unos 200 propietarios que rentan sus tierras al parque de aerogeneradores Bii Nisa, de la empresa Eólica del Sur, bloquearon ayer el acceso principal a las instalaciones para denunciar que la compañía dañó sus terrenos con obras y no ha cumplido con los contratos.
Los arrendadores, armados con piedras y palos, se apostaron a la entrada del parque eólico, donde se instalan torres de aerogeneradores, lo que, según los inconformes, ha causado ‘‘infinidad’’ de afectaciones.
Dieron a conocer que 300 propietarios integrados en cinco comités reclaman al representante de Eólica del Sur, Eduardo Centeno, cumplir varios compromisos. ‘‘Nos prometieron que iban a reforestar, pero han derribado muchos árboles para montar las torres. Eso es un ecocidio’’, dijeron.
Otra de sus preocupaciones es que no se ha aclarado en qué se aplicarán 25 millones de pesos que la eólica entregó al ayuntamiento. Los inconformes exigen que se destinen a obras sociales.
",https://www.jornada.com.mx/2018/08/03/estados/031n2est
7,Preparan ONG manifiesto contra el nuevo aeropuerto,,"Periódico La JornadaMiércoles 18 de julio de 2018, p. 15","Esta semana, diferentes organizaciones se pronunciarán en rechazo de la construcción del Nuevo Aeropuerto Internacional de Ciudad de México (NAICM). Pueblos originarios y organizaciones de la cuenca de México, integrada por asociaciones no gubernamentales, ambientalistas y académicos, analizan exigir la cancelación del megaproyecto.
También rechazan las propuestas de diálogo público hechas por autoridades del gabinete del virtual presidente electo, Andrés Manuel López Obrador, así como del referendo popular, por tratarse de una estrategia de desmovilización que busca confrontar a los pueblos para imponer la obra, afirman.
Las organizaciones reiteran que en la actualidad, gobierno y empresarios han despojado con violencia y destruido el patrimonio natural, histórico y cultural de las comunidades, además de endeudarlas de manera irresponsable, por lo que exigen a la actual administración detener el ecocidio y daño ambiental irreversible a la cuenca del valle de México, y que se modernice de manera eficiente el sistema de aeropuertos ya existente en la región centro del país.
En entrevista, Sócrates Galicia Fuentes, académico e investigador de la Universidad Autónoma Chapingo, adelantó que comunidades, colectivos, grupos, movimientos y organizaciones de estudiantes y académicos publicarán un manifiesto con 10 puntos, donde señalan que el ex lago de Texcoco es inviable para la nueva terminal aérea, entre otros.
",https://www.jornada.com.mx/2018/07/18/politica/015n3pol
8,Edifican sobre falla geológica en Tláhuac,,"Periódico La JornadaDomingo 22 de julio de 2018, p. 27","En el pueblo de Santiago Zapoti-tlán, delegación Tláhuac, hace falta infraestructura, escuelas y áreas verdes, pero lo más grave, señalaron sus colonos, es que las autoridades permitieron la construcción de unidades habitacionales sobre una zona donde hay una grieta, que pone en peligro viviendas y personas.
Manifestaron que nunca han sido consultados sobre las edificaciones, simplemente venden, compran los predios y construyen. No permitiremos que nos cerquen de centros comerciales y proyectos inmobiliarios como lo han hecho en otras zonas.
Ayer los habitantes del poblado realizaron una marcha para decir: Basta. No más unidades habitacionales. El hartazgo de la comunidad fue provocado por la construcción del proyecto de vivienda en el predio conocido como Los Pineda, ubicado en avenida Tláhuac y esquina con calle 16 de septiembre.
En el predio hay un avance en la construcción de los departamentos; no obstante, los vecinos exigen que se detenga la obra, porque a escasos metros de este proyecto se encuentra la falla geológica.
Durante la protesta indicaron que con estas obras las afectaciones serán mayores a la comunidad: “Hablamos de una zona que tiene problemas en el suministro de agua e incluso la grieta se encuentra a unos cuantos metros del terreno.
Con la llegada de más gente sólo se agudizarán y crearán más problemas, expresaron los inconformes. Durante su caminata por un carril de avenida Tláhuac, los habitantes de la Zapotitlán y La Conchita portaban parcartas de rechazo.
La consigna fue clara: No más unidades. En los carteles se leía: Basta, Zapotitlán ha sido afectado por tantos condominios, No a las unidades habitacionales y Exigimos la clausura total de la construcción en Los Pineda.
Los residentes expusieron varias de sus necesidades como es la de una preparatoria, servicios públicos y espacios de recreación.
",https://www.jornada.com.mx/2018/07/22/capital/027n2cap
9,Opositores al nuevo aeropuerto demandan reunión con AMLO y Javier Jiménez Espriú,,"Periódico La JornadaDomingo 22 de julio de 2018, p. 8","Integrantes de la Plataforma Organizativa Contra el Nuevo Aeropuerto y la Aerotrópolis solicitaron por escrito una reunión con el virtual presidente electo Andrés Manuel López Obrador y con Javier Jiménez Espriú, quien se perfila como el próximo titular de la Secretaría de Comunicaciones y Transportes.
En la segunda reunión de dicha agrupación participaron integrantes del Frente de Pueblos en Defensa de la Tierra (FPDT), representantes de organizaciones civiles, sociales y estudiantiles, así como residentes de las áreas colindantes con la construcción del Nuevo Aeropuerto Internacional de Ciudad de México (NAICM).
Dejaron en claro que su postura de exigir que se cancele la construcción de la terminal nueva aérea no es un capricho y rechazaron el que nos sigan pisoteando e imponiendo proyectos.
Aseguraron que cada vez más personas se suman a su plataforma, incluso investigadores, y lanzaron consignas como La tierra no se vende, se ama y se defiende; La patria no se vende, se ama y se defiende y Ni hoteles ni aviones, la tierra da frijoles.
En entrevistas por separado, Ignacio del Valle y América del Valle, del FPDT, confiaron en que López Obrador los escuche en concordancia con su aseveración de primero los pobres, pues dijeron que si ya se ha reunido con empresarios no habría razón para que ignore el llamado de gente del pueblo al diálogo para exponer su punto de vista sobre la nueva terminal aérea.
Ignacio del Valle comentó que existe la posibilidad de que la próxima semana pueda concretarse alguna junta y subrayó que construir esa terminal es un crimen ambiental y social.
Ambos coincidieron en que no es sólo por las instalaciones del nuevo aeropuerto, sino por todo lo que se construirá alrededor de éste, como por ejemplo corredores industriales, lo cual puede no estar en el proyecto pero a la postre se hará y será una causa más para arrebatarnos nuestras tierras. El activista dijo que para lo único que los podrían considerar sería como mano de obra barata, a lo que no están dispuestos.
América del Valle aseguró que la obra tiene menos de 15 por ciento de avance e Ignacio del Valle destacó los daños ecológicos que provocará la nueva terminal, que por estar en una zona de vocación lacustre terminará por generar mayor gasto en obras de reparación ante eventuales hundimientos del terreno e inundaciones.
Insistieron en que la obra debe detenerse, que no es viable y que atenta en contra del suelo y la cultura de los pueblos asentados en esa zona y alrededores. Ambos recordaron que llevan 17 años luchando contra la construcción del nuevo aeropuerto y que no cejarán.
América del Valle recordó que los campesinos que vendieron sus terrenos lo hicieron bajo presión, y dijo que no hay dinero que alcance a pagar lo que significa su tierra.
",https://www.jornada.com.mx/2018/07/22/politica/008n2pol
