Titulos,Dia,Mes,Año
Logran vecinos suspender obra en plaza de Huixqui,2,1,2017
Rebasa obra nivel máximo,12,1,2017
Endosan a Seduvi edificio excedido,13,1,2017
Muere uno en refinería de Madero,13,1,2017
Toma Policía control de presa,13,1,2017
Condena ONU asesinato de ambientalista,20,1,2017
Pelean tierras a NAICM,24,1,2017
Esconden clausura y continúan la obra,10,2,2017
Clausuran vecinos de Iztacalco construcción,14,2,2017
Detienen a manifestantes en MexicalI,14,2,2017
Construyen con maña y suspenden la venta,16,2,2017
Demandan pruebas de desarrollo ilegal,17,2,2017
Frena la semarnat el Viuducto La raza,18,2,2017
Pelean aeropuerto,18,2,2017
Investigan subestacion,20,2,2017
Rechazan cervecera en Mexicali,20,2,2017
Exigen en GAM cancelar viaducto,23,2,2017
Descalifican colonias puente vial en Tlalne,1,3,2017
Logran vecinos frenar nuevo Cine Coyoacán,9,3,2017
Piden vecinos mejoras,12,3,2017
Solicita PAOT suspender obra ilegal en Xochimilco,13,3,2017
Bloquean obra en BJ a inspección vecinal,22,3,2017
Otorgan apoyo tras derrumbe,1,4,2017
Advierten vecinos por Artz Pedregal,2,4,2017
Denuncian abusos de minera en Puebla,5,4,2017
Invade edificio Presa Anzaldo,7,4,2017
Harta a vecinos de BJ desorden inmobiliario,9,4,2017
Acusa tribu invasión por aval a salinera,10,4,2017
Bloquean termoeléctrica,11,4,2017
"Colapsa obra, mueren 7",11,4,2017
Minimizan anomalías en obra colapsada,12,4,2017
Ordena la PAOT recortar megatorre,12,4,2017
Resisten vecinos metadesarrollos,23,4,2017
Rechazan obras en valle de bravo,24,4,2017
Documentan vecinos proyectos irregulares,2,5,2017
Alertan por inundaciones en Ixhuatepec,3,5,2017
Arrastra anomalías la obra colapsada,5,5,2017
Construyen obra en AO con 33 niveles ilegales,8,5,2017
Responzabilizan a EU por crisis de vaquita,8,5,2017
Rechazan ecologistas Metrobus 7,19,5,2017
Chocan expertos y vecinos por Metrobús 7,1,6,2017
Exigen diálogo con clausura de Artz Pedregal,2,6,2017
Rechazan en BJ tala de 67 árboles,8,6,2017
Carece el Mexibús 4 de permiso de INAH,8,6,2017
Clausuran en la GAM construcción irregular,9,6,2017
Polemizan por trazo de Metrobús 7,13,6,2017
Impiden obras en Naucalpan-Toluca,14,6,2017
"Solicitan, al fin, permisos de L7",15,6,2017
Piden Rubalcava y Salazar parar interurbano,21,6,2017
Impugnan el 'Barrio Santa Fe' resolución,22,6,2017
"Paran, de momento, la tala en El Ocotal",22,6,2017
Pelean área natural en Naucalpan,22,6,2017
"Revisarán, de nuevo, el acuífero de Aztecas",22,6,2017
Impugna el 'Barrio Santa fe' resolución,22,6,2017
Critican uso de diesel en Metrobús Reforma,24,6,2017
Revisará la corte litigio por tierras de Zapopan,25,6,2017
Registra veracruz daños por mercurio,25,6,2017
Desafian a Higa a probar gastos,26,6,2017
Tension en Salina Cruz,27,6,2017
Exigen pagar daño,28,6,2017
Reclamo en altamar,29,6,2017
Extienden detencion de la tala en Ocotal,30,6,2017
Rechazan dejar sus pueblos por presa,1,7,2017
Rechazan Metrobús en Clazada Misterios,5,7,2017
Protestan vs. MB-7 en Estela de Luz,9,7,2017
Exigen vecinos de AO detallar trazo de Tren,10,7,2017
Clausuran vecinos obra,12,7,2017
"Alertan a SCT, parchan obra… mueren 2",13,7,2017
Eso se va a caer,13,7,2017
Piden vecinos solución a fondo,14,7,2017
Reclamo en la corte,14,7,2017
Rechazan cervecera,15,7,2017
Tilda Coyoacán protestas como un golpeado político,15,7,2017
Atribuyen muertes a fallas en proyecto,16,7,2017
Demandan a Aldesa por muerte en la vía,16,7,2017
Litigan minera y ejido,16,7,2017
Ven Paso Expres como pesadilla,17,7,2017
Alerta la CNDH riesgos; pide medidas cautelares,17,7,2017
Denunciarán MB-7 ante ambientalistas,19,7,2017
Reclaman pagos,19,7,2017
Frenan acueducto para Constellation,20,7,2017
Reprochan operativo por cervecera,23,7,2017
"Arrasan con cerros, Profepa se deslinda",1,8,2017
Acumula amparos eólica en Oaxaca,2,8,2017
Hallan en socavón tapón de concreto-Alerta a vecinos riesgo de inundacion,3,8,2017
Molestan a vecinos labores en el tunel,3,8,2017
Agrava el tapón crisis del socavón,4,8,2017
Denuncian explotación ilegal para NAICM,4,8,2017
Impiden pasar,4,8,2017
Nos construyeron una presa,4,8,2017
Deja daño ambiental percance en refinería,5,8,2017
Urge Morelos a quitar tapón en Paso Exprés,5,8,2017
Cierra en opacidad fondo de río Sonora-Reclaman brindar atención médica,6,8,2017
Piden en AO frenar planta de desechos,6,8,2017
Extiende quejas el Paso Exprés,7,8,2017
Detectan en Marina Ixtapa descargas sin a utorizacion,9,8,2017
Acusan afectación por lodo del NAICIM,20,8,2017
Piden pobladores a Edil informar sobre las obras,20,8,2017
Demandan cancelar el contrato del tunel,4,9,2017
Repudian Metrobús 7,6,9,2017
Rechazan Estadio Azul en el Parque Cuitláhuac,7,9,2017
Impide uso de suelo nuevo Estadio Azul,10,9,2017
Advierten ecocidio en terreno de AO,11,9,2017
Reaparece en Coapa grieta junto a obra,13,9,2017
Aprueba Naucalpan proyectos polémicos,14,9,2017
Frenan en La herradura obra en área protegida,17,9,2017
Viven en Cuauhtémoc bajo amenaza latente,1,10,2017
Reclaman vecinos parar obra de Mitikah,2,10,2017
Minimiza BC oposición a proyectos de agua,3,10,2017
Mueren 4 en mina de Coahuila,3,10,2017
"Recortarán, por fin, torre con helipuerto",3,10,2017
"Bloquean, otra vez, la mina Peñasquito",4,10,2017
Deja 8 intoxicados derrame químico en Reynosa,5,10,2017
Suspenden en AO planta recicladora,8,10,2017
Clausuran obra y siguen trabajando,9,10,2017
Piden investigación sobre el helipuerto,15,10,2017
Marchan en coyoacan vs megadesarrollos,22,10,2017
Piden frenar hotel en manglar de QR,23,10,2017
"Rechaza Azcapotzalco 1,500 departamentos",25,10,2017
Rechazan planta de cianuro,29,10,2017
Afectan sabotajes importación de gas,30,10,2017
Reprochan omisión ante daño de salinera,31,10,2017
Buscan detener más gasoductos,1,11,2017
Reclamo ambiental,7,11,2017
Retoman marchas contra proyectos,13,11,2017
Avalan hotel junto a nido de tortugas,14,11,2017
ContinuaIEnova labor para nuevo gasoducto,14,11,2017
Clausuran en definitiva desarrollo en Tajamar,16,11,2017
Acusan devastación por obras del NAICM,19,11,2017
Reparan socavón sin tener permiso,20,11,2017
"Puente de Paso Exprés, en un mes",21,11,2017
Desquicia tránsito protesta campesina,22,11,2017
Pide CFE liberar ducto,22,11,2017
Resguardan obra de tren,22,11,2017
Permiten tirar cascajo sobre dique histórico,24,11,2017
Dio SCT aval final para Paso Exprés,28,11,2017
Admiten defectos en el Paso Exprés,29,11,2017
Piden garantía ante daño por Interurbano,30,11,2017
Se aferra constructor a salida por callejón,30,11,2017
Continúa en Anzaldo obra pese a clausura,4,12,2017
Cuestionan Metrobús en Coyuya,4,12,2017
Paran ducto más de 2 años; duplican su costo,4,12,2017
Minimiza Obras rechazo por ampliación de MB-5,5,12,2017
Paralizan amparos 4 ductos,5,12,2017
Inquietan amparos contra ductos a IP,6,12,2017
Niegan ejidatarios de GDL liberar estacionamiento,6,12,2017
Paralizan avenidas por conflicto ejidal,6,12,2017
Avala Invea a gasera; Xochimilco la critica,7,12,2017
Bloquean Ermita,7,12,2017
Peligran puentes por Tren Interurbano,7,12,2017
Presenta la CFE denuncia por ducto,8,12,2017
Rechazan en Las Águilas estación de transferencia,8,12,2017
Frenan mina en Ensenada,10,12,2017
Enfrentan en CRE amparos por ductos,11,12,2017
Llama CNDH a revisar permisos de Semarnat,15,12,2017
Rechazan en Av. Zapata tala de árboles por obra,15,12,2017
Se amparan por ecoplanta,16,12,2017
Rechazan futura sede de planta de desechos,18,12,2017
Fue error humano; vecinos lo refutan,22,12,2017
Piden indígenas amparo en BC,24,12,2017
Aumenta tensión por cervecera en BC,26,12,2017
Montan guardia decembrina contra MB-7,26,12,2017
Conceden amparo en BC contra desaladoras,30,12,2017
Van en Acapulco contra comunitaria,8,1,2018
Arrecia conlficto por agua en BC,17,1,2018
Aceleran en Mexicali obra para cervecera,18,1,2018
Acusan ilegalidad en torre de Lomas,1,2,2018
Descartan ilegalidad de torre en Bosques,2,2,2018
Operan extracción de oro bajo tensión,11,2,2018
Rechazan Interurbano y frenan Reforma,13,2,2018
Protestan en CU contra megatorres,24,2,2018
Acusan farsa en suspensión frente a CU,27,2,2018
Urgen colonos detener desarrollo en Zacatenco,2,3,2018
Reavivan conflicto en los Pedregales,4,3,2018
Amaga a Santa Fe un megaproyecto,7,3,2018
Inquieta a vecinos venta de campo,7,3,2018
Atoran gasoductos por pocos kilo?metros,9,3,2018
Denuncian invasión pese a restricción,12,3,2018
Lanzan ofensiva contra Interurbano,12,3,2018
Critican a Sacmex por aval a 3 torres,15,3,2018
Exigen aclarar obras en GAM,18,3,2018
Acusan daños por L-12,28,3,2018
Paran planta de cianuro,6,4,2018
Litiga Sener por gasoductos parados,12,4,2018
Daña megaobra casas y escuela en Iztacalco,18,4,2018
Madrugan a vecinos con asilo irregular,18,4,2018
Suspende MH obra en Anzures,20,4,2018
Aplazan conflictos arranque de Tren a Toluca,25,4,2018
Rechazan en AO 10 expropiaciones,25,4,2018
Refutan urbanización en Montes Apalaches,26,4,2018
Solicita Aeropuerto frenar invasiones,29,4,2018
Detienen empresas poliductos privados,1,5,2018
Ignoran sellos de clausura en obra de Descartes 100,9,5,2018
Retrasa a Interurbano sustitucion de puente,19,5,2018
Acusan vecinos apoyo de UNAM a Be Grand,21,5,2018
Exigen vecinos ante CDH revisión de daños por L12,22,5,2018
Molesta humo y olor de la Planta de Asfalto,22,5,2018
Ven riesgos en terreno con megaobra avalada,23,5,2018
Dejan libre a activista de Mexicali Resiste,24,5,2018
Piden a Graue no ceder ante megatorres,26,5,2018
Protestan vecinos por megaobra,3,6,2018
Vuelve abogado opositor; ahora contra el interurbano,11,6,2018
Acusan vecinos despojo en Pedregal de Carrasco,25,6,2018
Ignora Edomex fallo y favorece a Higa,26,6,2018
Avanza torre ilegal en San Jerónimo,29,6,2018
Incumplen consulta al construir gasoducto,5,7,2018
"Contienen vecinos de Xoco, obra de Mítikah",8,7,2018
Hemos sido piedra para sus negocios,10,7,2018
Acusan en BC hostigamiento,10,7,2018
Reclaman compensar paso del Interurbano,11,7,2018
Reclaman parar Tren Interurbano a Toluca,11,7,2018
Señalaron riesgo... y nada,13,7,2018
Rechazan Tren Interurbano en los Pinos,14,7,2018
Preocupan en Pedregal obras en 'suelo blando',16,7,2018
Exigen acatar fallo contra Interurbano,17,7,2018
Vierten desechos en cauce de presa,21,7,2018
Piden por caso Artz mediación de CDMX,23,7,2018
Acusan Ecocidio,27,7,2018
Avanza contrucción de acueducto marino,27,7,2018
Culpan construcción por daños en la Roma,28,7,2018
"Inmejorable lugar para vivir, en la mejor ciudad del país",29,7,2018
Rechazo Huasteco,30,7,2018
Frenan inversiones alcaldes de Hidalgo,2,8,2018
Llaman a sanear río Sonora,2,8,2018
Proyectan torre en MH sobre predio unifamiliar,2,8,2018
Reabren demanda por derrame en río,5,8,2018
"Acabará, ahora sí, mitigación por Artz",8,8,2018
Tiran en La Venta árboles por puente,15,8,2018
Violan sello de megatorre de Hipódromo,17,8,2018
Alertan de pérdida de lago por NAIM:Ven insuficiente proyecto hidráulico,19,8,2018
Exigen a Sheinbaum detener megaobras,19,8,2018
Trabajan tren a Toluca sin permiso ambiental,20,8,2018
Violan zona patrimonial de San Ángel,20,8,2018
Reclamo en la corte,21,8,2018
Exigen vecinos parar obra tras deslave en Iztacalco,25,8,2018
Indagan en Mitikah perjuicio ambiental,31,8,2018
Claudia y la u?ltima llamada,3,9,2018
Preocupa a ONU caso ri?o Sonora,5,9,2018
Dan amparo contra obra minera,6,9,2018
Urgen a Profepa aclarar permisos,7,9,2018
Preocupa impacto ambiental del NAIM,10,9,2018
Compromete NAIM vasos de regulacio?n,10,9,2018
Acusan afectaciones por obra,10,9,2018
Piden frenar obra por causar dan?os,15,9,2018
Suman a normalistas a protestas en Aztecas,17,9,2018
Van a consulta tambie?n minas,18,9,2018
Contra petrolera,18,9,2018
Impacta el retraso en ductos a tarifas,19,9,2018
Resolvera? Corte destino de autopista en Edomex,23,9,2018
Atajan con votos obras irregulares,23,9,2018
Frenan tren interurbano por litigio de predio,26,9,2018
Ejecutan a opositor de nuevo aeropuerto,1,10,2018
Cuestionan afectacio?n ambiental,4,10,2018
Tunde al NAIM nuevo Gabinete,4,10,2018
Alertan pobladores de dan?os por NAIM,5,10,2018
Exigen revisio?n integral a la presa 'El Zapotillo',5,10,2018
Unen en Bosques fuerzas vecinales,5,10,2018
Genera expectativas recorrido por el NAIM,7,10,2018
Atora a tren Interurbano tramo de Observatorio,8,10,2018
Buscan Gobiernos desbloquear Interurbano,9,10,2018
Demandan anular NAIM sin consulta,11,10,2018
Preocupa Tren Maya a aliados de AMLO,11,10,2018
Reclaman ejidatarios mil hecta?reas de NAIM,11,10,2018
Rechazo a terminal,13,10,2018
Llueven' recursos contra Interurbano,14,10,2018
Reclaman tierras; exigen mil mdd,15,10,2018
Llaman pueblos afectados a marcha,17,10,2018
Ve ONG imposicio?n para aplicar ejercicio,17,10,2018
Rodada vs Texcoco,21,10,2018
Exigen en Atenco restituir las tierras,30,10,2018
Rompe inmobiliaria tubo del Cutzamala,1,11,2018
Paran interurbano y pierden 220 mdp,6,11,2018
