Titulos,Dia,Mes,Año
Impiden obras en Naucalpan Toluca,14,6,2017
Impugnan el 'Barrio Santa Fe' resolucion,21,6,2017
Protestan vs. en Estela de Luz,9,7,2017
"Alertan a SCT, parchan obra mueren 2",13,7,2017
Denunciaran ante ambientalistas,19,7,2017
Hallan en socavon tapon de concreto,3,8,2017
Alerta a vecinos riesgo de inundacion,3,8,2017
Cierra en opacidad fondo de rio Sonora,6,8,2017
Reclaman brindar atencion medica,6,8,2017
Rechaza Azcapotzalco departamentos,25,10,2017
Continua IEnova labor para nuevo gasoducto,14,11,2017
Minimiza Obras rechazo por ampliacion de,5,12,2017
Montan guardia decembrina contra,26,12,2017
Arrecia conflicto por agua en BC,17,1,2018
Acusan daños por Linea 12,22,3,2018
Daña megaobra casas y escuela en Iztacalco,17,4,2018
Exigen vecinos ante CDH revision de daños por Linea 12,22,5,2018
Molesta humo y olor de la Planta de Asfalto,21,5,2018
Tiran en La Venta arboles por puente,14,8,2018
Alertan de perdida de lago por NAIM:,19,8,2018
Ven insuficiente proyecto hidraulico,19,8,2018
Piden frenar obra por causar daños,15,9,2018
Alertan pobladores de daños por NAIM,4,10,2018
Deslindan de NAIM via Peñon Ecatepec,3,1,2019
Dan amparo contra MB 7,25,1,2019
Valoraran daños por L 12,22,2,2019
Crecen daños por L 12 tras reparacion expres,11,4,2019
Eleva Santa Lucia riesgo por agua,20,5,2019
Cuestionan el aumento de casas sin servicios,20,5,2019
Demandan no permitir produccion de cianuro,17,6,2019
Evaluan suspender trabajos en Mitikah,23,6,2019
Demandan derechos en Deportivo Tezonco,16,10,2019
Rechazan la consulta para ampliar el Metrobus 3,11,11,2019
